house_number,username,email,phone,password
1,Asmae,asmae@gmail.com,1234567890,password1
1,Ahmed,ahmed@gmail.com,0987654321,password1
1,abed_el_hafid,abed_el_hafid@gmail.com,1234567890,password1
1,oubay,oubay@gmail.com,0987667891,password1
2,douae,douae@gmail.com,12234567890,password2
2,kaoutar,kaoutar@gmail.com,099876554321,password2
2,zaineb,zaineb@gmail.com,12098765432,password2
2,khaoula,khaoula@gmail.com,09845678921,password2
2,jabir,jabir@gmail.com,0989876678921,password2
3,soundoss,soundoss@gmail.com,09845678921,password3
3,soror,soror@gmail.com,09867978921,password3
3,roudayna,roudayna@gmail.com,09835878921,password3
3,yassmine,yassamine@gmail.com,03455878921,password3
3,wiam,wiam@gmail.com,09876567987,password3
1,Douae,douae@gmail.com,0987654323,password1
2,wafae,wafae@gmail.com,1236547890,password2
2,yassine,yassine@gmail.com,345981209,password2
3,mbarqua,mbarqua@gmail.com,34534282595,password3
